id,category,ground_truth,llm_answer_raw,llm_answer
nikluge-2025-대화 맥락 추론-dev-000085,반응,inference_1,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000086,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000087,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000088,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000089,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000090,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000091,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000092,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000093,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000094,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000095,후행사건,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000096,원인,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000097,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000098,전제,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000099,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000100,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000101,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000102,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000103,전제,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000104,반응,inference_2,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000105,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000106,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000107,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000108,전제,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000109,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000110,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000111,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000112,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000113,전제,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000114,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000115,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000116,원인,inference_1,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000117,동기,inference_1,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000118,전제,inference_2,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000119,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000120,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000121,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000122,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000123,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000124,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000125,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000126,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000127,동기,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000128,전제,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000129,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000130,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000131,원인,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000132,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000133,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000134,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000135,후행사건,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000136,원인,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000137,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000138,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000139,반응,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000140,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000141,원인,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000142,동기,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000143,전제,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000144,반응,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000145,후행사건,inference_1,A,inference_1
nikluge-2025-대화 맥락 추론-dev-000146,원인,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000147,동기,inference_2,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000148,전제,inference_2,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000149,반응,inference_3,C,inference_3
nikluge-2025-대화 맥락 추론-dev-000150,후행사건,inference_1,B,inference_2
nikluge-2025-대화 맥락 추론-dev-000151,원인,inference_1,A,inference_1
