id,transcript,category,question,inferences,ground_truth,llm_answer_raw,llm_answer,is_right
nikluge-2025-대화 맥락 추론-dev-000011,"speaker 2: You have white powder on you!
speaker 2: I think the whipped cream tastes better.
speaker 1: I just wanted to create a comfortable atmosphere so that our conversation flows well and we can get closer, anyway.
speaker 1: I'm saying this to avoid any misunderstandings, but I hope there won't be any.
speaker 1: I think all donuts are delicious.
speaker 2: I'm sorry if I made you uncomfortable by hastily assuming you were a woman and calling you a player.
speaker 1: It's okay.
speaker 1: I wasn't uncomfortable, but I was worried you might feel betrayed later when you find out I'm a man.
speaker 2: Donuts are delicious, and Randy's Donuts are famous too.
speaker 2: I want to try it.
speaker 1: How about Randy's Donuts?
speaker 1: I've never heard of it before.
speaker 1: What is good there?
speaker 2: My friend says it's delicious!
speaker 1: Haha, didn't you try it yourself?
speaker 1: What did they say was delicious?
speaker 2: I don't remember the menu... hahaha.
speaker 2: I just jot down the name of the place, haha.
speaker 1: Then let's go and try it out in person later, haha.
speaker 1: I also like Krispy Kreme a bit.
speaker 1: The basic donut with sugar coating is so delicious.
speaker 2: Krispy is delicious, right?
speaker 2: That's right, the original is the best.
speaker 1: Is there anything else you like?
speaker 2: I like it.
speaker 2: Pancakes.
speaker 2: Kimchi pancakes and green onion pancakes.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will go to eat Randy's Donuts.
B. Speaker 2 will eat the leftover Randy's donuts.
C. Speaker 2 will go to work at Randy's Donuts.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000012,"speaker 1: I'm not going to work.
speaker 2: I can't go because of Corona.
speaker 1: If you can't go to work, it will get tough.
speaker 2: It's hard to go to work because I shouldn't get stressed.
speaker 1: Well, what job doesn't come with stress?
speaker 2: Yeah, even celebrities must have job stress.
speaker 1: I feel like it would be even more stressful since I have to act for work, and the seniors are intimidating.
speaker 2: Yeah, but the kids all want to become celebrities.
speaker 1: They only show the glamorous life of making a lot of money, but they don't see the struggles of reaching stardom.
speaker 2: That's right.
speaker 1: So you don't want to look for a job?
speaker 2: Once I feel better, I'll look for a job.
speaker 1: I wonder if there will be any jobs available by then.
speaker 2: There are no jobs even now.
speaker 2: I heard you're moving to a new job, right?",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will focus on obtaining the certification.
B. Speaker 2 will be dedicated to recovering their health.
C. Speaker 2 will take sick leave from work.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000013,"speaker 1: Hello.
speaker 2: Hello!
speaker 2: Do you have a favorite singer?
speaker 1: Who should I like?
speaker 1: Sung Si-kyung.
speaker 2: So you like Sung Si-kyung, huh? Haha.
speaker 1: Yes.
speaker 1: Which singer do you like?
speaker 2: Have you ever seen Sung Si-kyung's Dingo Live video? Hehe
speaker 2: It was really great!!
speaker 1: Oh, I like it.
speaker 1: What did you have for lunch?
speaker 2: I had a rice bowl for lunch, haha.
speaker 2: Among Sung Si-kyung's songs.
speaker 2: What's your favorite song by Sung Si-kyung? ㅎㅎ
speaker 1: On the street.
speaker 1: I really love that song on the street.
speaker 1: It's the best.
speaker 2: Wow, it really feels like the perfect season to listen to it right now, haha!
speaker 1: Yes, yes.
speaker 2: I really love that song too.
speaker 1: I listen to it every day.
speaker 2: Among Sung Si-kyung's songs,
speaker 2: I like the old song ""Heejae"" by Sung Si-kyung.
speaker 1: Oh, I'll give it a listen.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will search for who Sung Si-kyung is.
B. Speaker 2 will think about a lunch menu that suits the season.
C. Speaker 2 will play the song ""On the Street"" by Sung Si-kyung.",inference_3,C,inference_3,O
nikluge-2025-대화 맥락 추론-dev-000014,"speaker 2: Oh, do you know a good place for spicy chicken feet soup?
speaker 1: I'm planning to steam some cabbage and eat it wrapped up for dinner.
speaker 2: There's a place called Woong-i's for spicy chicken feet in Incheon.
speaker 2: That sounds delicious!
speaker 1: Is the soup chicken feet more delicious?
speaker 1: Incheon is far away.
speaker 2: How to enjoy spicy chicken feet soup deliciously.
speaker 2: Shall I tell you how to enjoy spicy chicken feet with broth?
speaker 1: What is it?
speaker 1: I'm curious.
speaker 2: Add the perilla leaves at the end.
speaker 2: It will be an amazing feast!
speaker 1: It must smell good.
speaker 2: It will definitely taste good.
speaker 1: What I bought is charcoal-grilled chicken feet.
speaker 2: You can just buy it because it's cheap.
speaker 1: Can I put it on the charcoal grill?
speaker 2: Eat it with ssam-mu.
speaker 1: That's a good idea.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will explain the reasons for avoiding chicken feet.
B. Speaker 1 will record the method that Speaker 2 has provided.
C. Speaker 1 will recommend a famous regular chicken feet restaurant in Incheon.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000015,"speaker 2: I went to the aquarium.
speaker 1: Where is that?
speaker 2: The aquarium in Jamsil.
speaker 1: So what did you see there?
speaker 2: There were various internal performances.
speaker 1: Is there a Little Mermaid show?
speaker 2: That's right, it was really amazing.
speaker 1: They move freely and beautifully inside.
speaker 2: They really look like a mermaid.
speaker 1: What other performances did you see?
speaker 2: I also saw a dolphin show.
speaker 1: Dolphins are so cute!
speaker 2: They're even smart!
speaker 1: They really seem smart when you see them interacting with their trainers.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will share a video of the dolphin show.
B. Speaker 2 will criticize the issues of the dolphin show.
C. Speaker 2 will watch the dolphin show, even if it's just through a video.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000016,"speaker 2: You were a player first.
speaker 2: What do you think?
speaker 1: Wow.. Are you a kendo player?
speaker 2: Slender with well-defined forearm muscles.
speaker 2: Yes, yes.
speaker 1: Are you really an athlete?? A pro??
speaker 2: The kendo uniform is totally amazing!
speaker 2: Yes, I'm a player. I'm a pro.
speaker 1: That's crazy..ㅠㅠ
speaker 1: Please share your eye candy.
speaker 2: It's so stylish.
speaker 2: I want to do that.
speaker 2: You have a handsome face.
speaker 2: I can't help but smile.
speaker 2: Um.
speaker 1: What kind of prize is it?
speaker 1: Who do you resemble?
speaker 2: It's not like that; it's a bit sharp and gentle.
speaker 2: It's sharp and gentle.
speaker 1: How about the skin?
speaker 2: It's a bit dark.
speaker 2: It's not really my style.
speaker 2: But I really like it...
speaker 1: But if you have a good body, being tanned looks cooler.
speaker 2: It was awesome.
speaker 1: I love you, you worked hard.
speaker 1: ""Three.""",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will recommend a dojo where Speaker 2 can learn kendo.
B. Speaker 1 will ask Speaker 2 where they saw the handsome kendo player.
C. Speaker 1 will ask Speaker 2 for a place to buy a nice kendo uniform.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000017,"speaker 1: Which one was the hardest among the part-time jobs you had?
speaker 2: For me, it was definitely the fast food place, haha.
speaker 2: What about you?
speaker 1: I do telemarketing.
speaker 2: Wow, when did you do that?
speaker 1: Was it when I was twenty or twenty-one?
speaker 1: I was the one who called first to promote it.
speaker 2: Wow, that's impressive, it was promotion!
speaker 2: Did people get angry?
speaker 1: It was stressful because there were too many people getting angry, and the work environment wasn't good since they only gave me an empty computer in the office.
speaker 1: It must have been tough for McDonald's since it's a large franchise.
speaker 2: Sigh, telemarketing is tough for both the person receiving the call and the one making it.
speaker 2: Yeah, working at McDonald's was tough.. haha
speaker 2: You have to be a little more proactive.
speaker 1: It seems like it's tough whether you're taking orders, making food, or cleaning up.
speaker 1: There were a lot of difficult customers, right?
speaker 2: Yeah, at least there was a part-time worker who helped with the cleaning, haha.
speaker 1: Oh, so there's a separate cleaning part-time job? That's interesting! Haha.
speaker 2: I remember making mistakes and getting scolded, though.
speaker 2: Yeah, I had a friend who only did the dishes and cleaning, haha.
speaker 1: Haha, memories of getting scolded are hard to forget!",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will say that they will quit their part-time job.
B. Speaker 2 will talk about the time they got scolded while working part-time.
C. Speaker 2 will talk about the situation where they got scolded while cleaning.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000018,"speaker 1: I used up my CJ Mall reward points yesterday.
speaker 2: What did you buy?
speaker 1: The dried fish was cheap, but it was sold out.
speaker 2: Oh no~~ The cheap ones tend to sell out quickly.
speaker 1: I bought five pairs of fake socks because the points were at 4,000, which was a bit awkward.
speaker 2: You did well. You can wear them for a while.
speaker 1: I think I spent about 750 won.
speaker 2: You made a good deal.
speaker 1: I was thinking of buying some sundae with a little money, haha.
speaker 1: I felt like I was just wasting money, so I passed.
speaker 2: You did well.
speaker 1: Don't you have any reward points, name2?
speaker 1: They said they would give you 3,000.
speaker 2: I didn't have any.
speaker 2: Maybe it's because they gave it to me last month.
speaker 1: I guess they give it out randomly.
speaker 1: You received it last month, huh?
speaker 2: Yes, I hope it's there next time^^",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will gift their 4,000 points to Speaker 2.
B. Speaker 1 will share ways to accumulate points with Speaker 2.
C. Speaker 1 will share with Speaker 2 the reason why they couldn't use their reward points and lost them.",inference_2,B,inference_2,O
nikluge-2025-대화 맥락 추론-dev-000019,"speaker 2: Oh, does gochujang go in too?
speaker 1: Yes, gochujang is included.
speaker 2: Wow, does it also include fernbrake?
speaker 1: Yes, it does, haha.
speaker 2: Ah, that's correct!!!! Bibimbap!
speaker 1: That's right!!!
speaker 1: Finally, hahaha!
speaker 2: Yay! Hahaha!
speaker 2: Bibimbap sounds delicious!
speaker 1: You worked hard, haha.
speaker 2: Yay~~
speaker 1: This time, it's my turn.
speaker 2: Do you want to guess my dinner menu this time?
speaker 1: Sure, haha!
speaker 2: Sounds good, sounds good!",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 and speaker 1 will continue the game.
B. Speaker 2 and speaker 1 will each prepare a meal.
C. Speaker 2 and speaker 1 will have dinner together.",inference_1,A,inference_1,O
nikluge-2025-대화 맥락 추론-dev-000020,"speaker 1: I'll take the exam in July.
speaker 1: Is there another one?
speaker 1: Is there a second round or something?
speaker 2: Interview.
speaker 1: Ah, I see.
speaker 2: It's there.
speaker 2: In August.
speaker 1: First of all, July is the key.
speaker 2: But the results will be in September.
speaker 1: Wow.
speaker 1: Why is the result delayed?
speaker 2: That's what I'm saying!
speaker 1: That's what I hate the most.
speaker 2: Because I'm a public servant.
speaker 2: I want to pass and live in Suncheon.
speaker 2: I want something.
speaker 1: That would be awesome.
speaker 2: Lately.
speaker 2: I like my hometown these days.
speaker 1: Right? The taste of my hometown is the best.
speaker 1: Then come down to Suncheon.
speaker 2: If I run into my parents.
speaker 1: Are you going to stay at your family home?
speaker 2: I’ll just move closer to work, haha.
speaker 1: Haha!
speaker 1: That's the best!
speaker 2: hahahahahahahaha",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 2 will look into ways to pass the public servant exam in the metropolitan area.
B. Speaker 2 will check the results of the Suncheon area civil service exam.
C. Speaker 2 will look into the competition rate for the public service exam in the Suncheon area.",inference_3,B,inference_2,X
nikluge-2025-대화 맥락 추론-dev-000021,"speaker 1: I recently changed my dog's toothbrush, but it was a failure.
speaker 1: It's bigger than I expected.
speaker 2: Oh, I haven't brushed my dog's teeth yet; I just use dental chews instead.
speaker 2: Do dogs accept the toothbrush well?? Haha
speaker 1: If they eat dental chews well, it should be fine.
speaker 1: It's a collaboration between my parents who want to give our dog human food instead of treats and a dog that hates hard food.
speaker 1: It's the worst, right? Haha.
speaker 1: But one of the dogs has really bad teeth.
speaker 2: Oh no, you said it doesn't even eat dog chews wellㅠㅠㅠ
speaker 1: I bought duck neck bones because they say they're good for tartar removal, but he won't eat those either.
speaker 2: I've heard of duck neck bones!! But I think that would be hard tooㅠㅠㅠ
speaker 1: I'm worried because one of them is a bit old, even though I want to get scaling done.
speaker 1: But the other one is crunching away happily.
speaker 1: I think it's easier for them to eat than hard dog chews.
speaker 2: Scaling is a bit tough for people too, so I can’t imagine how hard it must be for a puppy.
speaker 2: How old are the dogs?!?!
speaker 1: Haha, they are 13 years old and 4 to 5 years old.
speaker 2: Oh no, if it's 13 years old, is its eyesight okay?!
speaker 2: My dog is starting to have a bit of a cloudy look.
speaker 1: Both of my kids are fine right now.
speaker 1: The previous Shih Tzu had surgery.
speaker 1: What did the hospital say?
speaker 2: I heard that Shih Tzus are prone to cataracts.
speaker 2: Did you have surgery, and were you okay afterwards?!?
speaker 1: Yes, fortunately, it hasn't recurred.
speaker 1: I hope it doesn't get worse.",후행사건,Choose the next event that is most likely to happen after the dialogue above.,"A. Speaker 1 will look for dental care products for their parents.
B. Speaker 1 will purchase additional dental chews for dental care for senior dogs.
C. Speaker 1 will look for good dental care products for the elderly dog.",inference_3,C,inference_3,O
